ticker,company,sector,year,page_text_clean,changed_from_prior,theme_categories,analyst_notes
MSFT,Microsoft,Technology,2016,"Our mission is to empower every person and every organization on the planet to achieve more.
Find out all about Microsoft—company facts, news, how to contact us, and more.
Get to know some of our people, places, and ideas. And meet the leaders who shape our vision.
See how we give our technology and resources to make a lasting positive impact.
Get in touch. We're here to help.
More than 1,000 researchers at our labs around the world are achieving scientific breakthroughs.
We're dedicated to creating opportunities for everyone and making a difference in our communities around the world.
At Microsoft, we're moved and inspired by many things. Take a look inside at what we're up to today.
Our goals are to minimize the impact of our operations and products, and to foster responsible environmental leadership.
                            Microsoft Store 
                            Downloads 
                            Values 
- Contact us
- Privacy and cookies
- Terms of use
- Trademarks
- About our ads
- © 2016 Microsoft",,human_progress_wellbeing|innovation_science|community_social_good|environmental_stewardship,"Microsoft emphasizes empowering people and organizations to achieve more while advancing scientific innovation, community impact, and environmental responsibility."
MSFT,Microsoft,Technology,2017,"We believe in what people make possible
Our mission is to empower every person and every organization on the planet to achieve more.
Find out all about Microsoft—company facts, news, how to contact us, and more.
Get to know some of our people, places, and ideas. And meet the leaders who shape our vision.
See how we give our technology and resources to make a lasting positive impact.
Get in touch. We're here to help.
Innovating from the ocean floor to Mars
More than 1,000 researchers at our labs around the world are achieving scientific breakthroughs.
Caring for our communities
We're dedicated to creating opportunities for everyone and making a difference in our communities around the world.
Sharing our stories
At Microsoft, we're moved and inspired by many things. Take a look inside at what we're up to today.
Building a sustainable future
Our goals are to minimize the impact of our operations and products, and to foster responsible environmental leadership.",True,innovation_science|community_social_good|environmental_stewardship|human_progress_wellbeing,"Microsoft emphasizes empowering people and organizations globally through innovation, community support, and sustainable environmental practices."
MSFT,Microsoft,Technology,2018,"We believe in what people make possible
Our mission is to empower every person and every organization on the planet to achieve more.
Find out all about Microsoft—company facts, news, how to contact us, and more.
Get to know some of our people, places, and ideas. And meet the leaders who shape our vision.
See how we give our technology and resources to make a lasting positive impact.
Get in touch. We're here to help.
- Innovating from the ocean floor module- We're supporting more than 1,000 researchers at Microsoft labs around the world to achieve scientific breakthroughs. Learn about our research
- Advancing a future for everyone- We believe technology is a force for social and economic inclusion, and we're working to ensure that everyone has access to the opportunities it creates. Learn more about Microsoft Philanthropies
- Sharing our stories- At Microsoft, we're moved and inspired by many things. Take a look at what we're up to today. Read Microsoft stories
- Building a sustainable future- Our goals are to minimize the impact of our operations and products, and to foster responsible environmental leadership. Explore our environmental work
- Amplifying human ingenuity- We believe that, when designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you or your organization achieve more. Explore Microsoft AI",True,innovation_science|human_progress_wellbeing|community_social_good|environmental_stewardship|people_talent,"Microsoft emphasizes empowering people and organizations through innovation, technology access, AI advancement, and sustainable practices to create positive social and economic impact."
MSFT,Microsoft,Technology,2019,"Empowering others
Our mission is to empower every person and organization on the planet to achieve more.
Our company
Stay informed about Microsoft – from company facts and news to our worldwide locations and more.
Who we are
Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision.
What we value
See how we utilize technology to build platforms and resources to help make a lasting positive impact.
Featured programs and projects
Microsoft By the Numbers
Adding up the stories that make Microsoft, By the Numbers is an interactive look at what drives us, from quantum computing to environmental sustainability.
Microsoft Philanthropies
We believe technology is a powerful tool for social and economic inclusion, and we're working to ensure that everyone has access to the opportunities it creates.
Story Labs
At Microsoft, we're moved and inspired by many things. Microsoft Story Labs features in-depth interviews, features, and stories with those that are on the forefront of innovation.
Microsoft AI
When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you or your organization achieve more.",True,innovation_science|human_progress_wellbeing|community_social_good|people_talent,"Microsoft emphasizes empowering individuals and organizations through technology, artificial intelligence, and philanthropic initiatives to create social and economic inclusion and positive global impact."
MSFT,Microsoft,Technology,2020,"Empowering others
Our mission is to empower every person and every organization on the planet to achieve more.
Our company
Stay informed about Microsoft – from company facts and news to our worldwide locations and more.
Who we are
Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision.
What we value
See how we utilize technology to build platforms and resources to help make a lasting positive impact.
Featured programs and projects
Microsoft By the Numbers
Adding up the stories that make Microsoft, By the Numbers is an interactive look at what drives us, from quantum computing to environmental sustainability.
Corporate Social Responsibility
We believe technology is a powerful force for good and are working to foster a sustainable future where everyone has access to the benefits and opportunities created by technology.
Story Labs
At Microsoft, we're moved and inspired by many things. Microsoft Story Labs features in-depth interviews, features, and stories with those that are on the forefront of innovation.
Microsoft AI
When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you or your organization achieve more.",True,innovation_science|human_progress_wellbeing|community_social_good|environmental_stewardship|customer_client_focus,Microsoft emphasizes empowering people and organizations through technology innovation and AI to create sustainable progress and positive global impact.
MSFT,Microsoft,Technology,2021,"Empowering others
Our mission is to empower every person and every organization on the planet to achieve more.
Our company
Stay informed about Microsoft – from company facts and news to our worldwide locations and more.
Who we are
Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision.
What we value
See how we utilize technology to build platforms and resources to help make a lasting positive impact.
Featured programs and projects
Sustainability By the Numbers
Microsoft will be carbon negative by 2030. Get an interactive look at other ways our company is improving our environmental impact.
Corporate Social Responsibility
We believe technology is a powerful force for good and are working to foster a sustainable future where everyone has access to the benefits and opportunities created by technology.
Stories
At Microsoft, we're inspired by people around the world who use technology to do imaginative, innovative, and life-changing things. We share their stories.
Microsoft AI
When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you and your organization achieve more.",True,innovation_science|community_social_good|environmental_stewardship|human_progress_wellbeing|customer_client_focus,"Microsoft emphasizes empowering people and organizations through technology innovation to achieve more while advancing sustainability, social responsibility, and human progress globally."
MSFT,Microsoft,Technology,2022,"Empowering others
Our mission is to empower every person and every organization on the planet to achieve more.
Our company
Stay informed about Microsoft – from company facts and news to our worldwide locations and more.
Who we are
Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision.
What we value
See how we utilize technology to build platforms and resources to help make a lasting positive impact.
Featured programs and projects
Sustainability By the Numbers
Microsoft will be carbon negative by 2030. Get an interactive look at other ways our company is improving our environmental impact.
Corporate Social Responsibility
We believe technology is a powerful force for good and are working to foster a sustainable future where everyone has access to the benefits and opportunities created by technology.
Stories
At Microsoft, we're inspired by people around the world who use technology to do imaginative, innovative, and life-changing things. We share their stories.
Microsoft AI
When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you and your organization achieve more.",False,innovation_science|community_social_good|environmental_stewardship|human_progress_wellbeing|customer_client_focus,unchanged from 2021
MSFT,Microsoft,Technology,2023,"Empowering others
Our mission is to empower every person and every organization on the planet to achieve more.
Our company
Stay informed about Microsoft – from company facts and news to our worldwide locations and more.
Who we are
Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision.
What we value
See how we utilize technology to build platforms and resources to help make a lasting positive impact.
Featured programs and projects
Sustainability By the Numbers
Microsoft will be carbon negative by 2030. Get an interactive look at other ways our company is improving our environmental impact.
Corporate Social Responsibility
We believe technology is a powerful force for good and are working to foster a sustainable future where everyone has access to the benefits and opportunities created by technology.
Stories
At Microsoft, we're inspired by people around the world who use technology to do imaginative, innovative, and life-changing things. We share their stories.
Microsoft AI
When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you and your organization achieve more.",False,innovation_science|community_social_good|environmental_stewardship|human_progress_wellbeing|customer_client_focus,unchanged from 2022
MSFT,Microsoft,Technology,2024,"Empowering others
Our mission is to empower every person and every organization on the planet to achieve more.
Our company
Stay informed about Microsoft – from company facts and news to our worldwide locations and more.
Who we are
Get to know some of our people, explore engaging stories, and meet the leaders who shape our vision.
What we value
See how we utilize technology to build platforms and resources to help make a lasting positive impact.
Featured programs and projects
Sustainability By the Numbers
Microsoft will be carbon negative by 2030. Get an interactive look at other ways our company is improving our environmental impact.
Corporate Social Responsibility
We believe technology is a powerful force for good and are working to foster a sustainable future where everyone has access to the benefits and opportunities created by technology.
Stories
At Microsoft, we're inspired by people around the world who use technology to do imaginative, innovative, and life-changing things. We share their stories.
Microsoft AI
When designed with people at the center, AI can extend your capabilities, free you up for more creative and strategic endeavors, and help you and your organization achieve more.",False,innovation_science|community_social_good|environmental_stewardship|human_progress_wellbeing|customer_client_focus,unchanged from 2023
NVDA,NVIDIA,Technology,2016,,,,broken_snapshot: archived snapshot has no extractable text
