event,event_date,theme,hypothesis,reflect_year,pre_mean,post_mean,change_pct,biggest_jump_year,biggest_jump,verdict
Paris Agreement enters into force,2016-11,environmental_stewardship,up,2017,0.868,0.878,1.1,2022,0.855,weak (small rise)
Business Roundtable redefines corporate purpose (stakeholder statement),2019-08,community_social_good,up,2020,0.54,0.788,46.1,2021,0.192,aligned
Business Roundtable redefines corporate purpose (stakeholder statement),2019-08,people_talent,up,2020,3.879,4.563,17.6,2018,0.394,"partial (rose, but biggest jump off-timing)"
COVID-19 pandemic onset,2020-03,people_talent,up,2021,4.206,4.743,12.8,2018,0.394,weak (small rise)
COVID-19 pandemic onset,2020-03,safety,up,2021,0.278,0.44,58.5,2021,0.126,aligned
COVID-19 pandemic onset,2020-03,human_progress_wellbeing,up,2021,0.764,1.156,51.3,2021,0.278,aligned
George Floyd murder / racial-justice reckoning,2020-06,diversity_inclusion,up,2021,2.733,3.357,22.8,2021,0.67,aligned
SEC human-capital disclosure rule (Reg S-K Item 101(c)),2020-11,people_talent,up,2021,4.206,4.743,12.8,2018,0.394,weak (small rise)
Engine No. 1 wins ExxonMobil board seats on climate platform,2021-05,environmental_stewardship,up,2022,1.658,2.863,72.6,2022,0.855,aligned
Anti-ESG / anti-DEI political backlash intensifies,2022-2023,diversity_inclusion,down_or_plateau,2023,3.357,3.386,0.9,2021,0.67,aligned (flat/declined as hypothesized)
Anti-ESG / anti-DEI political backlash intensifies,2022-2023,environmental_stewardship,down_or_plateau,2023,2.331,2.895,24.2,2022,0.855,no (kept rising +24%)
