ticker,name,sector,tier,chosen_url,years_covered,is_canonical,non_canonical_note,2016,2017,2018,2019,2020,2021,2022,2023,2024
MSFT,Microsoft,Technology,override,microsoft.com/en-us/about,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,filled
AAPL,Apple,Technology,timeout,,0,True,,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
NVDA,NVIDIA,Technology,agent,nvidia.com/en-us/about-nvidia/,9,True,,broken_snapshot,filled,filled,filled,filled,filled,filled,filled,filled
GOOGL,Alphabet,Technology,agent,about.google,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,filled
META,Meta Platforms,Technology,override,about.meta.com,3,True,,no_capture,no_capture,no_capture,no_capture,no_capture,no_capture,filled,filled,filled
AVGO,Broadcom,Technology,low_coverage,www.broadcom.com/about,2,True,,filled,no_capture,no_capture,no_capture,no_capture,filled,no_capture,no_capture,no_capture
CRM,Salesforce,Technology,agent,www.salesforce.com/company/about-us,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,filled
ORCL,Oracle,Technology,timeout,,0,True,,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
IBM,IBM,Technology,agent,www.ibm.com/about,6,False,"www.ibm.com/able/about.html is IBM's accessibility sub-section About page, not the main corporate About/values page. It covers 2019 only of the missing years. No canonical About/values path confirmed for 2016–2018.",no_capture,no_capture,no_capture,filled,filled,filled,filled,filled,filled
INTC,Intel,Technology,timeout,,0,True,,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
BRK.B,Berkshire Hathaway,Financials,override,berkshirehathaway.com,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,broken_snapshot
JPM,JPMorgan Chase,Financials,agent,jpmorganchase.com/about,9,True,,broken_snapshot,broken_snapshot,broken_snapshot,broken_snapshot,filled,filled,filled,filled,filled
BAC,Bank of America,Financials,agent,about.bankofamerica.com/en/our-company,4,True,,no_capture,no_capture,no_capture,no_capture,no_capture,filled,filled,filled,filled
WFC,Wells Fargo,Financials,prefix_filter,www.wellsfargo.com/about,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,filled
GS,Goldman Sachs,Financials,agent,www.goldmansachs.com/our-firm,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,filled
MS,Morgan Stanley,Financials,override,morganstanley.com/about-us,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,filled
BLK,BlackRock,Financials,agent,www.blackrock.com/corporate/about-us,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,filled
SCHW,Charles Schwab,Financials,low_coverage,www.schwab.com/public/schwab/nn/intelligent/about-sip.html,2,True,,filled,filled,no_capture,no_capture,no_capture,no_capture,no_capture,no_capture,no_capture
AXP,American Express,Financials,genuine_miss,,0,True,,host_wrong,host_wrong,host_wrong,host_wrong,host_wrong,host_wrong,host_wrong,host_wrong,host_wrong
C,Citigroup,Financials,agent,www.citigroup.com/citi/about/consumer_businesses.html,9,True,,filled,filled,filled,filled,filled,filled,broken_snapshot,broken_snapshot,filled
LLY,Eli Lilly,Healthcare,agent,www.lilly.com/who-we-are,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,filled
UNH,UnitedHealth Group,Healthcare,agent,www.unitedhealthgroup.com/about.html,6,True,,no_capture,filled,filled,filled,filled,filled,filled,no_capture,no_capture
JNJ,Johnson & Johnson,Healthcare,agent,www.jnj.com/about-jnj,9,True,,filled,filled,filled,filled,filled,filled,filled,filled,filled
